;sent_index;token;tag
106;15;лингвистика;O
107;15;:;O
108;15;научная;O
109;15;,;O
110;15;предполагающая;O
111;15;построение;O
112;15;лингвистических;O
113;15;теорий;O
114;15;";";O
115;15;прикладная;O
116;15;лингвистика;O
117;15;:;O
118;15;специализируется;O
119;15;на;O
120;15;решении;O
121;15;практических;O
122;15;задач;O
123;15;,;O
124;15;связанных;O
125;15;с;O
126;15;изучением;O
127;15;языка;O
128;15;,;O
129;15;а;O
130;15;также;O
131;15;на;O
132;15;практическом;O
133;15;использовании;O
134;15;лингвистической;O
135;15;теории;O
136;15;в;O
137;15;других;O
138;15;областях;O
139;15;";";O
140;15;практическая;B-TERM
141;15;лингвистика;I-TERM
142;15;:;O
143;15;представляет;O
144;15;собой;O
145;15;ту;O
146;15;сферу;B-DEF
147;15;,;I-DEF
148;15;где;I-DEF
149;15;реально;I-DEF
150;15;проводятся;I-DEF
151;15;лингвистические;I-DEF
152;15;эксперименты;I-DEF
153;15;,;I-DEF
154;15;имеющие;I-DEF
155;15;целью;I-DEF
156;15;верификацию;I-DEF
157;15;положений;I-DEF
158;15;теоретической;I-DEF
159;15;лингвистики;I-DEF
160;15;и;I-DEF
161;15;проверку;I-DEF
162;15;эффективности;I-DEF
163;15;продуктов;I-DEF
164;15;,;I-DEF
165;15;создаваемых;I-DEF
166;15;прикладной;I-DEF
167;15;лингвистикой;I-DEF
168;15;";";O
169;15;эмпирическая;O
170;15;лингвистика;O
171;15;,;O
172;15;получающая;O
173;15;материал;O
174;15;посредством;O
175;15;экспериментального;O
176;15;анализа;O
177;15;текстов;O
178;15;и;O
179;15;речевых;O
180;15;конструкций;O
181;15;.;O
182;17;Она;O
183;17;бывает;O
184;17;:;O
185;17;нормативной;O
186;17;:;O
187;17;указывающей;O
188;17;,;O
189;17;как;O
190;17;«;O
191;17;надо;O
192;17;»;O
193;17;говорить;O
194;17;и;O
195;17;писать;O
196;17;(;O
197;17;прескриптивная;O
198;17;,;O
199;17;предписательная;O
200;17;);O
201;17;.;O
202;18;Поэтому;O
203;18;выделяют;O
204;18;:;O
205;18;общую;O
206;18;лингвистику;O
207;18;:;O
208;18;изучает;O
209;18;общие;O
210;18;(;O
211;18;статистически;B-DEF
212;18;преобладающие;I-DEF
213;18;);O
214;18;черты;O
215;18;всех;O
216;18;языков;O
217;18;как;O
218;18;эмпирически;O
219;18;(;O
220;18;индуктивно;O
221;18;);O
222;18;,;O
223;18;так;O
224;18;и;O
225;18;дедуктивно;O
226;18;,;O
227;18;исследуя;O
228;18;общие;O
229;18;тенденции;O
230;18;функционирования;O
231;18;языка;O
232;18;,;O
233;18;разрабатывая;O
234;18;методы;O
235;18;его;O
236;18;анализа;O
237;18;и;O
238;18;давая;O
239;18;определение;O
240;18;лингвистических;O
241;18;понятий;O
242;18;.;O
243;20;Она;O
244;20;выявляет;O
245;20;и;O
246;20;формулирует;O
247;20;языковые;B-TERM
248;20;универсалии;I-TERM
249;20;,;O
250;20;то;O
251;20;есть;O
252;20;гипотезы;B-DEF
253;20;,;I-DEF
254;20;выполняющиеся;I-DEF
255;20;для;I-DEF
256;20;большинства;I-DEF
257;20;описанных;I-DEF
258;20;языков;I-DEF
259;20;мира;I-DEF
260;20;";";O
261;20;частную;O
262;20;лингвистику;O
263;20;:;O
264;20;изучает;O
265;20;отдельный;O
266;20;язык;O
267;20;,;O
268;20;группу;O
269;20;родственных;O
270;20;языков;O
271;20;или;O
272;20;пару;O
273;20;контактирующих;O
274;20;языков;O
275;20;.;O
276;25;Одно;B-TERM
277;25;из;I-TERM
278;25;традиционных;I-TERM
279;25;направлений;I-TERM
280;25;прикладной;I-TERM
281;25;лингвистики;I-TERM
282;25;—;O
283;25;участие;B-DEF
284;25;в;I-TERM
285;25;языковой;I-DEF
286;25;политике;I-DEF
287;25;государства;I-DEF
288;25;.;O
289;40;Внешняя;B-TERM
290;40;лингвистика;I-TERM
291;40;(;O
292;40;социальная;B-DEF
293;40;лингвистика;I-DEF
294;40;,;I-DEF
295;40;социолингвистика;I-DEF
296;40;);O
297;40;описывает;O
298;40;:;O
299;40;язык;O
300;40;во;O
301;40;всем;O
302;40;многообразии;O
303;40;его;O
304;40;социальных;O
305;40;вариантов;O
306;40;и;O
307;40;их;O
308;40;функций;O
309;40;";";O
310;40;зависимость;O
311;40;выбора;O
312;40;«;O
313;40;кода;B-TERM
314;40;»;O
315;40;(;O
316;40;то;O
317;40;есть;O
318;40;языковой;B-DEF
319;40;системы;I-DEF
320;40;);O
321;40;от;O
322;40;общественной;O
323;40;принадлежности;O
324;40;носителя;O
325;40;(;O
326;40;классовый;O
327;40;и;O
328;40;профессиональный;O
329;40;выбор;O
330;40;);O
331;47;Лингвистика;O
332;47;речи;O
333;47;включает;O
334;47;лингвистику;O
335;47;говорящего;O
336;47;(;O
337;47;изучающую;O
338;47;активный;B-TERM
339;47;аспект;I-TERM
340;47;речи;I-TERM
341;47;—;O
342;47;деятельность;B-DEF
343;47;отправителя;I-DEF
344;47;сообщений;I-DEF
345;47;,;I-DEF
346;47;то;I-DEF
347;47;есть;I-DEF
348;47;кодирование;I-DEF
349;47;—;I-DEF
350;47;говорение;I-DEF
351;47;,;I-DEF
352;47;письмо;I-DEF
353;47;,;I-DEF
354;47;сочинение;I-DEF
355;47;текстов;I-DEF
356;47;);O
357;47;и;O
358;47;лингвистику;O
359;47;слушающего;O
360;47;(;O
361;47;изучающую;O
362;47;пассивный;B-TERM
363;47;аспект;I-TERM
364;47;речи;I-TERM
365;47;—;O
366;47;деятельность;B-DEF
367;47;получателя;I-DEF
368;47;сообщений;I-DEF
369;47;,;I-DEF
370;47;то;I-DEF
371;47;есть;I-DEF
372;47;декодирование;I-DEF
373;47;—;I-DEF
374;47;слушание;I-DEF
375;47;,;I-DEF
376;47;чтение;I-DEF
377;47;,;I-DEF
378;47;понимание;I-DEF
379;47;текстов;I-DEF
380;47;);O
381;47;.;O
382;52;Внутри;O
383;52;грамматики;O
384;52;принято;O
385;52;выделять;O
386;52;такие;O
387;52;разделы;O
388;52;,;O
389;52;как;O
390;52;морфология;B-TERM
391;52;(;O
392;52;наука;B-DEF
393;52;о;I-DEF
394;52;грамматических;I-DEF
395;52;свойствах;I-DEF
396;52;слова;I-DEF
397;52;);O
398;52;и;O
399;52;синтаксис;B-TERM
400;52;(;O
401;52;наука;B-DEF
402;52;о;I-DEF
403;52;грамматических;I-DEF
404;52;свойствах;I-DEF
405;52;предложения;I-DEF
406;52;и;I-DEF
407;52;словосочетания;I-DEF
408;52;);O
409;52;.;O
410;52;Соответствующие;O
411;52;дисциплины;O
412;52;отличаются;I-TERM
413;52;друг;O
414;52;от;O
415;52;друга;O
416;52;ориентацией;O
417;52;на;O
418;52;изучение;O
419;52;единиц;O
420;52;разных;O
421;52;уровней;O
422;52;языка;O
423;52;:;O
424;52;Предметом;B-TERM
425;52;фонетики;I-TERM
426;52;принято;O
427;52;считать;O
428;52;такие;B-DEF
429;52;единицы;I-DEF
430;52;,;I-DEF
431;52;как;I-DEF
432;52;звуки;I-DEF
433;52;речи;I-DEF
434;52;,;I-DEF
435;52;их;I-DEF
436;52;признаки;I-DEF
437;52;и;I-DEF
438;52;классы;I-DEF
439;52;,;I-DEF
440;52;фонемы;I-DEF
441;52;и;I-DEF
442;52;отношения;I-DEF
443;52;между;I-DEF
444;52;ними;I-DEF
445;52;,;I-DEF
446;52;а;I-DEF
447;52;также;I-DEF
448;52;явления;I-DEF
449;52;просодики;I-DEF
450;52;—;I-DEF
451;52;структуру;I-DEF
452;52;слога;I-DEF
453;52;,;I-DEF
454;52;структуру;I-DEF
455;52;речевого;I-DEF
456;52;такта;I-DEF
457;52;и;I-DEF
458;52;роль;I-DEF
459;52;ударения;I-DEF
460;52;в;I-DEF
461;52;нём;I-DEF
462;52;,;I-DEF
463;52;правила;I-DEF
464;52;интонации;I-DEF
465;52;,;I-DEF
466;52;то;I-DEF
467;52;есть;I-DEF
468;52;звукового;I-DEF
469;52;оформления;I-DEF
470;52;словосочетаний;I-DEF
471;52;и;I-DEF
472;52;предложений;I-DEF
473;52;.;O
474;h_1;Аналогичным;O
475;h_1;образом;O
476;h_1;графика;O
477;h_1;изучает;O
478;h_1;свойства;O
479;h_1;элементарных;B-TERM
480;h_1;единиц;I-TERM
481;h_1;письменной;I-TERM
482;h_1;речи;I-TERM
483;h_1;—;O
484;h_1;графем;B-DEF
485;h_1;,;I-DEF
486;h_1;букв;I-DEF
487;h_1;,;I-DEF
488;h_1;иероглифов;I-DEF
489;h_1;.;O
490;h_2;Единицами;B-TERM
491;h_2;морфологии;I-TERM
492;h_2;принято;O
493;h_2;считать;O
494;h_2;морфему;B-DEF
495;h_2;и;I-DEF
496;h_2;слово;I-DEF
497;h_2;в;I-DEF
498;h_2;их;I-DEF
499;h_2;взаимоотношениях;I-DEF
500;h_2;(;I-DEF
501;h_2;правила;I-DEF
502;h_2;построения;I-DEF
503;h_2;номинативных;I-DEF
504;h_2;единиц;I-DEF
505;h_2;(;I-DEF
506;h_2;словоформ;I-DEF
507;h_2;);I-DEF
508;h_2;из;I-DEF
509;h_2;простейших;I-DEF
510;h_2;сигнификативных;I-DEF
511;h_2;единиц;I-DEF
512;h_2;(;I-DEF
513;h_2;морфем;I-DEF
514;h_2;);I-DEF
515;h_2;и;I-DEF
516;h_2;,;I-DEF
517;h_2;наоборот;I-DEF
518;h_2;,;I-DEF
519;h_2;членения;I-DEF
520;h_2;словоформ;I-DEF
521;h_2;на;I-DEF
522;h_2;морфемы;I-DEF
523;h_2;);I-DEF
524;h_2;.;O
525;h_3;Единицами;B-TERM
526;h_3;синтаксиса;I-TERM
527;h_3;принято;O
528;h_3;считать;O
529;h_3;структуру;B-DEF
530;h_3;таких;I-DEF
531;h_3;конструируемых;I-DEF
532;h_3;единиц;I-DEF
533;h_3;языка;I-DEF
534;h_3;,;I-DEF
535;h_3;как;I-DEF
536;h_3;свободное;I-DEF
537;h_3;словосочетание;I-DEF
538;h_3;(;I-DEF
539;h_3;докоммуникативная;I-DEF
540;h_3;конструируемая;I-DEF
541;h_3;единица;I-DEF
542;h_3;);I-DEF
543;h_3;и;I-DEF
544;h_3;свободное;I-DEF
545;h_3;предложение;I-DEF
546;h_3;(;I-DEF
547;h_3;коммуникативная;I-DEF
548;h_3;конструируемая;I-DEF
549;h_3;единица;I-DEF
550;h_3;);I-DEF
551;h_3;,;I-DEF
552;h_3;а;I-DEF
553;h_3;в;I-DEF
554;h_3;последнее;I-DEF
555;h_3;время;I-DEF
556;h_3;—;I-DEF
557;h_3;также;I-DEF
558;h_3;ССЦ;I-DEF
559;h_3;(;I-DEF
560;h_3;сложное;I-DEF
561;h_3;синтаксическое;I-DEF
562;h_3;целое;I-DEF
563;h_3;);I-DEF
564;h_3;и;I-DEF
565;h_3;,;I-DEF
566;h_3;наконец;I-DEF
567;h_3;,;I-DEF
568;h_3;связный;I-DEF
569;h_3;текст;I-DEF
570;h_3;.;O
571;53;Единицами;B-TERM
572;53;прагматики;I-TERM
573;53;являются;O
574;53;человеческие;B-DEF
575;53;высказывания;I-DEF
576;53;—;I-DEF
577;53;конкретные;I-DEF
578;53;речевые;I-DEF
579;53;акты;I-DEF
580;53;,;I-DEF
581;53;производимые;I-DEF
582;53;определёнными;I-DEF
583;53;участниками;I-DEF
584;53;общения;I-DEF
585;53;в;I-DEF
586;53;определённой;I-DEF
587;53;обстановке;I-DEF
588;53;,;I-DEF
589;53;соотносимые;I-DEF
590;53;с;I-DEF
591;53;определённой;I-DEF
592;53;реальностью;I-DEF
593;53;,;I-DEF
594;53;ориентированные;I-DEF
595;53;на;I-DEF
596;53;достижение;I-DEF
597;53;определённых;I-DEF
598;53;целей;I-DEF
599;53;(;I-DEF
600;53;в;I-DEF
601;53;частности;I-DEF
602;53;,;I-DEF
603;53;на;I-DEF
604;53;сообщение;I-DEF
605;53;);I-DEF
606;53;,;I-DEF
607;53;а;I-DEF
608;53;также;I-DEF
609;53;общие;I-DEF
610;53;универсальные;I-DEF
611;53;правила;I-DEF
612;53;создания;I-DEF
613;53;и;I-TERM
614;53;интерпретации;I-DEF
615;53;высказываний;I-DEF
616;53;.;O
617;95;Язык;B-DEF
618;95;,;I-DEF
619;95;изучаемый;I-DEF
620;95;лингвистом;I-DEF
621;95;,;I-DEF
622;95;—;O
623;95;это;O
624;95;язык-объект;B-TERM
625;95;";";O
626;95;а;O
627;95;язык;B-DEF
628;95;,;I-DEF
629;95;на;I-DEF
630;95;котором;I-DEF
631;95;формулируется;I-DEF
632;95;теория;I-DEF
633;95;(;I-DEF
634;95;описание;I-DEF
635;95;языка;I-DEF
636;95;,;I-DEF
637;95;напр;I-DEF
638;95;.;I-DEF
639;95;,;I-DEF
640;95;грамматика;I-DEF
641;95;или;I-DEF
642;95;словарь;I-DEF
643;95;в;I-DEF
644;95;соответствующих;I-DEF
645;95;значениях;I-DEF
646;95;);I-DEF
647;95;—;O
648;95;это;O
649;95;метаязык;B-TERM
650;95;.;I-DEF
651;97;На;O
652;97;метаязыке;O
653;97;создаются;O
654;97;метатексты;B-TERM
655;97;(;O
656;97;то;O
657;97;есть;O
658;97;тексты;B-DEF
659;97;о;I-DEF
660;97;языке;I-DEF
661;97;);O
662;97;";";O
663;97;это;O
664;97;грамматики;O
665;97;,;O
666;97;словари;O
667;97;,;O
668;97;лингвистические;O
669;97;атласы;O
670;97;,;O
671;97;карты;O
672;97;географического;O
673;97;распространения;O
674;97;языков;O
675;97;,;O
676;97;учебники;O
677;97;языков;O
678;97;,;O
679;97;разговорники;O
680;97;и;O
681;97;т;O
682;97;.;O
683;97;п;O
684;97;.;O
685;h_4;В;O
686;h_4;древности;O
687;h_4;наука;B-DEF
688;h_4;о;I-DEF
689;h_4;языке;I-DEF
690;h_4;(;O
691;h_4;«;O
692;h_4;грамматика;B-TERM
693;h_4;»;O
694;h_4;);O
695;h_4;изучала;O
696;h_4;лишь;O
697;h_4;родной;O
698;h_4;язык;O
699;h_4;учёного;O
700;h_4;,;O
701;h_4;но;O
702;h_4;не;O
703;h_4;чужие;O
704;h_4;языки;O
705;h_4;";";O
706;h_4;только;O
707;h_4;престижные;O
708;h_4;языки;O
709;h_4;духовной;O
710;h_4;культуры;O
711;h_4;,;O
712;h_4;а;O
713;h_4;живой;O
714;h_4;разговорный;O
715;h_4;язык;O
716;h_4;народа;O
717;h_4;(;O
718;h_4;и;O
719;h_4;уж;O
720;h_4;тем;O
721;h_4;более;O
722;h_4;неграмотных;O
723;h_4;бесписьменных;O
724;h_4;народностей;O
725;h_4;);O
726;h_4;не;O
727;h_4;изучался;O
728;h_4;.;O
729;99;Ка́лька;B-TERM
730;99;(;O
731;99;от;O
732;99;фр;O
733;99;.;O
734;99;calque;O
735;99;«;O
736;99;копия;O
737;99;»;O
738;99;);O
739;99;,;O
740;99;или;O
741;99;кальки́рование;O
742;99;,;O
743;99;в;O
744;99;лингвистике;O
745;99;—;O
746;99;заимствование;B-DEF
747;99;иноязычных;I-DEF
748;99;слов;I-DEF
749;99;,;I-DEF
750;99;выражений;I-DEF
751;99;,;I-DEF
752;99;фраз;I-DEF
753;99;буквальным;I-DEF
754;99;переводом;I-DEF
755;99;соответствующей;I-DEF
756;99;языковой;I-DEF
757;99;единицы;I-DEF
758;99;,;I-DEF
759;99;а;I-DEF
760;99;также;I-DEF
761;99;результат;I-DEF
762;99;этих;I-DEF
763;99;заимствований;I-DEF
764;99;:;I-DEF
765;99;слова;I-DEF
766;99;,;I-DEF
767;99;выражения;I-DEF
768;99;и;I-DEF
769;99;фразы;I-DEF
770;99;.;O
771;100;Словообразовательные;B-TERM
772;100;кальки;I-TERM
773;100;—;O
774;100;это;O
775;100;слова;B-DEF
776;100;,;I-DEF
777;100;полученные;I-DEF
778;100;поморфемным;I-DEF
779;100;переводом;I-DEF
780;100;иностранного;I-DEF
781;100;слова;I-DEF
782;100;с;I-DEF
783;100;одного;I-DEF
784;100;языка;I-DEF
785;100;на;I-DEF
786;100;другой;I-DEF
787;100;.;O
788;107;Так;O
789;107;,;O
790;107;например;O
791;107;,;O
792;107;русское;O
793;107;слово;O
794;107;насекомое;O
795;107;—;O
796;107;калька;O
797;107;с;O
798;107;латинского;O
799;107;insectum;O
800;107;(;O
801;107;in;O
802;107;«;O
803;107;на;O
804;107;»;O
805;107;+;O
806;107;sectum;O
807;107;«;O
808;107;секомое;O
809;107;»;O
810;107;);O
811;107;.;O
812;120;Полукалькой;B-TERM
813;120;называется;O
814;120;частичное;B-DEF
815;120;калькирование;I-DEF
816;120;составных;I-DEF
817;120;слов;I-DEF
818;120;.;O
819;122;Семантические;B-TERM
820;122;кальки;I-TERM
821;122;—;O
822;122;это;O
823;122;слова;B-DEF
824;122;,;I-DEF
825;122;которые;I-DEF
826;122;получили;I-DEF
827;122;новые;I-DEF
828;122;,;I-DEF
829;122;переносные;I-DEF
830;122;значения;I-DEF
831;122;под;I-DEF
832;122;влиянием;I-DEF
833;122;иностранного;I-DEF
834;122;слова;B-DEF
835;122;.;O
836;146;Учёные;B-DEF
837;146;,;I-DEF
838;146;занимающиеся;I-DEF
839;146;семантикой;I-DEF
840;146;,;I-DEF
841;146;до;O
842;146;сих;O
843;146;пор;O
844;146;обычно;O
845;146;называются;O
846;146;семасиологами;B-TERM
847;146;.;O
848;149;Таковы;O
849;149;споры;O
850;149;о;O
851;149;происхождении;O
852;149;значений;O
853;149;слов;O
854;149;и;O
855;149;их;O
856;149;отношении;O
857;149;к;O
858;149;бытию;O
859;149;и;O
860;149;мышлению;O
861;149;,;O
862;149;которые;O
863;149;велись;O
864;149;аналогистами;O
865;149;и;O
866;149;аномалистами;O
867;149;в;O
868;149;древности;O
869;149;и;O
870;149;номиналистами;O
871;149;,;O
872;149;реалистами;O
873;149;,;O
874;149;концептуалистами;O
875;149;в;O
876;149;Средние;O
877;149;века;O
878;149;";";O
879;149;таково;O
880;149;учение;O
881;149;о;O
882;149;суппозициях;B-TERM
883;149;,;O
884;149;то;O
885;149;есть;O
886;149;об;O
887;149;изменениях;B-DEF
888;149;значения;I-DEF
889;149;слова;I-DEF
890;149;в;I-DEF
891;149;зависимости;I-DEF
892;149;от;I-DEF
893;149;контекста;I-DEF
894;149;и;I-DEF
895;149;конкретной;I-DEF
896;149;ситуации;I-DEF
897;149;,;O
898;149;развиваемое;O
899;149;средневековой;O
900;149;схоластикой;O
901;149;";";O
902;149;таковы;O
903;149;проблемы;O
904;149;адекватности;O
905;149;языкового;O
906;149;выражения;O
907;149;мышления;O
908;149;и;O
909;149;происхождения;O
910;149;противоречий;O
911;149;между;O
912;149;ними;O
913;149;,;O
914;149;проблемы;O
915;149;развития;O
916;149;мышления;O
917;149;и;O
918;149;языка;O
919;149;,;O
920;149;выдвигаемые;O
921;149;философией;O
922;149;XVII—XVIII;O
923;149;веков;O
924;149;.;O
925;161;Только;O
926;161;одна;O
927;161;сторона;O
928;161;значения;O
929;161;слова;O
930;161;подвергается;O
931;161;более;O
932;161;детальному;O
933;161;обсуждению;O
934;161;в;O
935;161;лингвистике;O
936;161;XIX;O
937;161;—;O
938;161;начала;O
939;161;XX;O
940;161;веков;O
941;161;—;O
942;161;это;O
943;161;так;O
944;161;называемое;O
945;161;этимологическое;B-TERM
946;161;его;O
947;161;значение;B-TERM
948;161;,;O
949;161;то;O
950;161;есть;O
951;161;значение;B-DEF
952;161;,;I-DEF
953;161;вскрываемое;I-DEF
954;161;в;I-DEF
955;161;слове;I-DEF
956;161;его;I-DEF
957;161;этимологическим;I-DEF
958;161;анализом;I-DEF
959;161;,;I-DEF
960;161;установлением;I-DEF
961;161;связи;I-DEF
962;161;его;I-DEF
963;161;с;I-DEF
964;161;другими;I-DEF
965;161;словами;I-DEF
966;161;того;I-DEF
967;161;же;I-DEF
968;161;или;I-DEF
969;161;ближайших;I-DEF
970;161;к;I-DEF
971;161;нему;I-DEF
972;161;языков;I-DEF
973;161;.;O
974;162;Проблема;O
975;162;соотношения;O
976;162;этого;O
977;162;этимологического;B-DEF
978;162;значения;I-DEF
979;162;или;O
980;162;,;O
981;162;короче;O
982;162;,;O
983;162;этимона;B-TERM
984;162;ко;O
985;162;всему;O
986;162;содержанию;O
987;162;слова;O
988;162;обсуждается;O
989;162;в;O
990;162;языковедении;O
991;162;XIX;O
992;162;века;O
993;162;,;O
994;162;начиная;O
995;162;с;O
996;162;Гумбольдта;O
997;162;";";O
998;162;предложенное;O
999;162;Гумбольдтом;O
1000;162;определение;O
1001;162;этого;O
1002;162;соотношения;O
1003;162;как;O
1004;162;внутренней;O
1005;162;формы;O
1006;162;слова;O
1007;162;,;O
1008;162;выражающей;O
1009;162;данное;O
1010;162;в;O
1011;162;соответствующем;O
1012;162;языке;O
1013;162;воззрение;O
1014;162;на;O
1015;162;предмет;O
1016;162;,;O
1017;162;интерпретировалась;O
1018;162;психологистами;O
1019;162;как;O
1020;162;выражение;O
1021;162;в;O
1022;162;языке;O
1023;162;образного;O
1024;162;представления;O
1025;162;предмета;O
1026;162;(;O
1027;162;Штейнталь;O
1028;162;);O
1029;162;или;O
1030;162;доминирующего;O
1031;162;признака;O
1032;162;представления;O
1033;162;(;O
1034;162;Вундт;O
1035;162;);O
1036;162;,;O
1037;162;а;O
1038;162;их;O
1039;162;противниками;O
1040;162;—;O
1041;162;как;O
1042;162;не;O
1043;162;связанная;O
1044;162;с;O
1045;162;содержанием;O
1046;162;слова;O
1047;162;структурность;O
1048;162;его;O
1049;162;формы;O
1050;162;(;O
1051;162;Марти;O
1052;162;);O
1053;162;.;O
1054;163;Курва;B-TERM
1055;163;(;O
1056;163;польск;O
1057;163;.;O
1058;163;kurwa;O
1059;163;);O
1060;163;—;O
1061;163;наиболее;B-DEF
1062;163;часто;I-DEF
1063;163;используемый;I-DEF
1064;163;польский;I-DEF
1065;163;вульгаризм;I-DEF
1066;163;.;O
1067;256;Когнитивная;B-TERM
1068;256;лингвистика;I-TERM
1069;256;—;O
1070;256;направление;B-DEF
1071;256;в;I-DEF
1072;256;языкознании;I-DEF
1073;256;,;I-DEF
1074;256;которое;I-DEF
1075;256;исследует;I-DEF
1076;256;проблемы;I-DEF
1077;256;соотношения;I-DEF
1078;256;языка;I-DEF
1079;256;и;I-DEF
1080;256;сознания;I-DEF
1081;256;,;I-DEF
1082;256;роль;I-DEF
1083;256;языка;I-DEF
1084;256;в;I-DEF
1085;256;концептуализации;I-DEF
1086;256;и;I-DEF
1087;256;категоризации;I-DEF
1088;256;мира;I-DEF
1089;256;,;I-DEF
1090;256;в;I-DEF
1091;256;познавательных;I-DEF
1092;256;процессах;I-DEF
1093;256;и;I-DEF
1094;256;обобщении;I-DEF
1095;256;человеческого;I-DEF
1096;256;опыта;I-DEF
1097;256;,;I-DEF
1098;256;связь;I-DEF
1099;256;отдельных;I-DEF
1100;256;когнитивных;I-DEF
1101;256;способностей;I-DEF
1102;256;человека;I-DEF
1103;256;с;I-DEF
1104;256;языком;I-DEF
1105;256;и;I-DEF
1106;256;формы;I-DEF
1107;256;их;I-DEF
1108;256;взаимодействия;I-DEF
1109;256;.;O
1110;257;Под;O
1111;257;категоризацией;B-TERM
1112;257;понимается;O
1113;257;процесс;B-DEF
1114;257;упорядочения;I-DEF
1115;257;полученных;I-DEF
1116;257;знаний;I-DEF
1117;257;,;I-DEF
1118;257;то;I-DEF
1119;257;есть;I-DEF
1120;257;распределения;I-DEF
1121;257;нового;I-DEF
1122;257;знания;I-DEF
1123;257;по;I-DEF
1124;257;тем;I-DEF
1125;257;или;I-DEF
1126;257;иным;I-DEF
1127;257;рубрикам;I-DEF
1128;257;,;I-DEF
1129;257;существующим;I-DEF
1130;257;в;I-DEF
1131;257;сознании;I-DEF
1132;257;человека;I-DEF
1133;257;,;I-DEF
1134;257;и;I-DEF
1135;257;часто;I-DEF
1136;257;задаваемых;I-DEF
1137;257;категориями;I-DEF
1138;257;языка;I-DEF
1139;257;,;I-DEF
1140;257;носителем;I-DEF
1141;257;которого;I-DEF
1142;257;этот;I-DEF
1143;257;человек;I-DEF
1144;257;является;I-DEF
1145;257;.;O
1146;258;Концептуализация;B-TERM
1147;258;—;O
1148;258;это;O
1149;258;процесс;B-DEF
1150;258;определения;I-DEF
1151;258;набора;I-DEF
1152;258;когнитивных;I-DEF
1153;258;признаков;I-DEF
1154;258;(;I-DEF
1155;258;в;I-DEF
1156;258;том;I-DEF
1157;258;числе;I-DEF
1158;258;—;I-DEF
1159;258;и;I-DEF
1160;258;категориальных;I-DEF
1161;258;);I-DEF
1162;258;какого-либо;I-DEF
1163;258;явления;I-DEF
1164;258;реального;I-DEF
1165;258;или;I-DEF
1166;258;воображаемого;I-DEF
1167;258;мира;I-DEF
1168;258;,;I-DEF
1169;258;которые;I-DEF
1170;258;позволяют;I-DEF
1171;258;человеку;I-DEF
1172;258;иметь;I-DEF
1173;258;,;I-DEF
1174;258;хранить;I-DEF
1175;258;в;I-DEF
1176;258;сознании;I-DEF
1177;258;и;I-DEF
1178;258;пополнять;I-DEF
1179;258;новой;I-DEF
1180;258;информацией;I-DEF
1181;258;сколько-нибудь;I-DEF
1182;258;очерченное;I-DEF
1183;258;понятие;I-DEF
1184;258;и;I-DEF
1185;258;представление;I-DEF
1186;258;об;I-DEF
1187;258;этом;I-DEF
1188;258;явлении;I-DEF
1189;258;и;I-DEF
1190;258;отличать;I-DEF
1191;258;его;I-DEF
1192;258;от;I-DEF
1193;258;других;I-DEF
